93294 196880
24438 36484 28
36484 36485 19
36485 32047 10
32047 32884 65
32884 18 6
36484 24438 28
36485 36484 19
32047 36485 10
32884 32047 65
18 32884 6
43646 29392 11
29392 25 16
25 26 17
26 43648 11
43648 27 17
27 92995 15
92995 28 14
28 29 22
29 458 16
29392 43646 11
25 29392 16
26 25 17
43648 26 11
27 43648 17
92995 27 15
28 92995 14
29 28 22
458 29 16
36 17078 24
17078 36 24
17963 71981 3
71981 48 70
71981 17963 3
48 71981 70
47 87641 2
87641 46 34
87641 47 2
46 87641 34
26498 51 7
50 26509 30
68 29390 9
29390 69 16
69 29389 10
29389 70 10
70 71 9
71 29388 12
29388 72 15
72 73 31
73 43650 12
43650 74 12
74 459 15
83 74262 3
74262 74261 1
74261 34 3
34 80 6
364 85 58
85 43652 15
43652 86 17
85 364 58
43652 85 15
86 43652 17
16366 26486 19
42 62895 4
62895 79914 5
79914 26526 4
26526 79915 34
79915 26542 39
26542 79917 11
79917 79916 6
79916 79918 6
79918 41 17
62895 42 4
79914 62895 5
26526 79914 4
79915 26526 34
26542 79915 39
79917 26542 11
79916 79917 6
79918 79916 6
41 79918 17
24014 16403 11
16403 16402 32
16402 18177 10
18177 352 39
352 78285 18
78285 61710 19
61710 61716 17
61716 105 12
105 57862 7
57862 22149 6
22149 44400 14
44400 22150 11
22150 29338 11
29338 106 8
59160 36034 1
36034 110 16
36034 59160 1
110 36034 16
16579 114 3
114 16579 3
113 59162 25
59162 113 25
23686 90095 4
90095 43213 69
43213 111 6
90095 23686 4
43213 90095 69
111 43213 6
111 59161 7
59161 111 7
8369 16605 11
16605 8369 11
109 108 84
108 58957 7
58957 43659 8
43659 16297 20
16297 107 14
107 58959 53
58959 58960 6
58960 78309 1
78309 78308 1
78308 64147 1
64147 58115 4
58115 58955 5
58955 58961 2
58961 58954 2
58954 106 10
108 109 84
58957 108 7
43659 58957 8
16297 43659 20
107 16297 14
58959 107 53
58960 58959 6
78309 58960 1
78308 78309 1
64147 78308 1
58115 64147 4
58955 58115 5
58961 58955 2
58954 58961 2
106 58954 10
118 57859 7
57859 22151 7
22151 93255 4
93255 44408 14
44408 22152 6
22152 57857 9
57857 104 2
57859 118 7
22151 57859 7
93255 22151 4
44408 93255 14
22152 44408 6
57857 22152 9
104 57857 2
123 55331 10
55331 124 14
124 55332 21
55332 28865 46
28865 125 77
125 16369 55
16369 62897 15
62897 16370 11
16370 51 17
55331 123 10
124 55331 14
55332 124 21
28865 55332 46
125 28865 77
16369 125 55
62897 16369 15
16370 62897 11
51 16370 17
186 62654 8
62654 11285 6
11285 62655 9
62655 18796 3
62654 186 8
11285 62654 6
62655 11285 9
18796 62655 3
44 146 8
146 44 8
149 150 63
150 149 63
151 92885 66
92885 92881 9
92881 152 24
92885 151 66
92881 92885 9
152 92881 24
50930 159 23
159 160 34
160 44372 12
44372 71770 10
71770 71769 9
71769 71768 5
71768 71767 3
71767 47006 3
47006 71771 5
71771 71772 4
71772 161 8
161 40498 12
40498 47007 18
47007 40500 18
40500 71773 3
71773 46996 3
46996 46993 13
46993 162 2
162 46995 4
46995 46994 19
46994 47005 16
47005 71774 19
71774 71775 17
71775 47004 9
47004 71776 10
71776 71777 11
71777 46998 11
46998 163 9
163 71778 10
71778 46997 12
46997 71779 13
71779 46999 16
46999 71780 13
71780 164 10
164 71781 6
71781 47002 14
47002 64585 6
64585 71782 5
71782 71783 5
71783 47001 7
47001 47000 6
47000 236 2
236 71784 3
71784 47003 3
47003 165 13
159 50930 23
160 159 34
44372 160 12
71770 44372 10
71769 71770 9
71768 71769 5
71767 71768 3
47006 71767 3
71771 47006 5
71772 71771 4
161 71772 8
40498 161 12
47007 40498 18
40500 47007 18
71773 40500 3
46996 71773 3
46993 46996 13
162 46993 2
46995 162 4
46994 46995 19
47005 46994 16
71774 47005 19
71775 71774 17
47004 71775 9
71776 47004 10
71777 71776 11
46998 71777 11
163 46998 9
71778 163 10
46997 71778 12
71779 46997 13
46999 71779 16
71780 46999 13
164 71780 10
71781 164 6
47002 71781 14
64585 47002 6
71782 64585 5
71783 71782 5
47001 71783 7
47000 47001 6
236 47000 2
71784 236 3
47003 71784 3
165 47003 13
185 186 67
186 185 67
24453 70336 4
70336 44095 38
44095 44097 18
44097 38649 28
38649 183 70
183 38662 85
38662 64550 40
64550 44554 34
44554 44102 19
44102 184 59
184 58048 5
58048 64517 5
64517 64534 9
64534 44106 10
44106 20422 9
20422 29432 122
29432 71221 6
71221 35616 40
35616 35615 26
35615 51714 56
51714 51713 7
51713 51712 12
51712 69223 5
69223 71222 3
71222 20136 2
211 213 19
213 83358 10
83358 63415 23
63415 80637 25
80637 214 23
214 212 15
166 92852 8
92852 167 6
167 61542 4
92852 166 8
167 92852 6
61542 167 4
216 90808 12
90808 215 28
215 168 59
168 48841 13
48841 153 10
153 262 11
90808 216 12
215 90808 28
168 215 59
48841 168 13
153 48841 10
262 153 11
217 218 59
218 50935 7
50935 92860 2
92860 629 3
629 92859 5
92859 17112 5
17112 219 9
218 217 59
50935 218 7
92860 50935 2
629 92860 3
92859 629 5
17112 92859 5
219 17112 9
35598 221 73
221 35598 73
222 223 77
223 222 77
26588 228 5
228 229 34
229 121 38
228 26588 5
229 228 34
121 229 38
224 225 43
225 224 43
18184 47008 11
47008 47009 6
47009 129 11
129 130 44
130 44377 34
44377 131 5
131 26715 22
26715 71794 3
71794 71795 3
71795 71793 3
71793 71796 3
71796 132 7
132 133 11
133 33482 42
33482 71857 5
71857 33475 2
33475 134 5
134 135 7
135 71990 9
71990 71991 5
71991 71989 3
71989 71988 3
71988 250 7
250 71982 4
71982 71983 4
71983 136 10
136 35608 17
35608 35606 14
35606 71984 4
71984 71985 4
71985 71986 3
71986 137 3
137 71987 9
71987 36385 14
47008 18184 11
47009 47008 6
129 47009 11
130 129 44
44377 130 34
131 44377 5
26715 131 22
71794 26715 3
71795 71794 3
71793 71795 3
71796 71793 3
132 71796 7
133 132 11
33482 133 42
71857 33482 5
33475 71857 2
134 33475 5
135 134 7
71990 135 9
71991 71990 5
71989 71991 3
71988 71989 3
250 71988 7
71982 250 4
71983 71982 4
136 71983 10
35608 136 17
35606 35608 14
71984 35606 4
71985 71984 4
71986 71985 3
137 71986 3
71987 137 9
36385 71987 14
51 16371 10
16371 62896 14
62896 237 10
237 238 56
238 32237 49
32237 239 30
449 74266 17
74266 55342 16
55342 74265 7
74265 249 8
74266 449 17
55342 74266 16
74265 55342 7
249 74265 8
244 245 50
245 246 20
245 244 50
246 245 20
270 1563 32
1563 17152 54
17152 36622 83
36622 17153 85
17153 17218 64
1563 270 32
17152 1563 54
36622 17152 83
17153 36622 85
17218 17153 64
242 243 90
243 242 90
252 63818 21
63818 63817 9
63817 63816 9
63816 253 9
253 88748 10
88748 16484 6
63818 252 21
63817 63818 9
63816 63817 9
253 63816 9
88748 253 10
16484 88748 6
225 26589 60
26589 226 16
26589 225 60
226 26589 16
251 63815 29
63815 252 98
63815 251 29
252 63815 98
262 29387 15
29387 8896 16
8896 263 16
29387 262 15
8896 29387 16
263 8896 16
9761 265 7
265 37290 13
37290 17026 71
17026 266 83
266 17926 56
17926 17224 54
17224 37289 21
37289 267 20
267 44758 112
44758 268 21
268 269 188
269 270 19
265 9761 7
37290 265 13
17026 37290 71
266 17026 83
17926 266 56
17224 17926 54
37289 17224 21
267 37289 20
44758 267 112
268 44758 21
269 268 188
270 269 19
10343 17940 2
17940 64029 16
64029 283 7
17940 10343 2
64029 17940 16
283 64029 7
297 86428 3
86428 86420 3
86420 86421 20
86421 330 25
330 296 133
296 29310 10
29310 29311 8
29311 295 12
295 29312 9
29312 29314 6
29314 29313 9
29313 90097 12
90097 294 4
104 48192 12
48192 48193 11
48193 48194 28
48194 18180 47
48192 104 12
48193 48192 11
48194 48193 28
18180 48194 47
298 47208 30
47208 299 9
299 17696 9
17696 716 15
716 74339 7
74339 74340 10
74340 74341 16
74341 715 12
47208 298 30
299 47208 9
17696 299 9
716 17696 15
74339 716 7
74340 74339 10
74341 74340 16
715 74341 12
366 36937 15
36937 315 29
315 17418 17
17418 316 71
316 317 41
317 318 22
318 74274 6
300 42819 16
42819 42820 9
42820 301 13
301 54952 37
54952 42814 69
42814 42815 17
42815 42816 5
42816 42817 5
42817 42810 4
42810 302 7
302 303 62
303 42809 9
42809 42808 7
42808 42807 5
42807 304 5
304 42806 33
42806 305 43
305 42805 5
42805 17700 6
17700 42804 53
42804 306 3
306 307 5
307 42803 6
42803 308 29
308 309 6
309 310 150
310 311 9
311 29396 9
29396 42802 9
42802 42801 12
42801 312 9
312 29395 6
29395 313 5
313 314 12
42819 300 16
42820 42819 9
301 42820 13
54952 301 37
42814 54952 69
42815 42814 17
42816 42815 5
42817 42816 5
42810 42817 4
302 42810 7
303 302 62
42809 303 9
42808 42809 7
42807 42808 5
304 42807 5
42806 304 33
305 42806 43
42805 305 5
17700 42805 6
42804 17700 53
306 42804 3
307 306 5
42803 307 6
308 42803 29
309 308 6
310 309 150
311 310 9
29396 311 9
42802 29396 9
42801 42802 12
312 42801 9
29395 312 6
313 29395 5
314 313 12
326 57991 6
57991 29301 4
29301 327 3
327 86444 2
86444 29302 3
29302 86445 3
86445 29303 6
29303 86446 2
86446 29304 2
29304 86447 1
86447 328 2
328 29306 4
29306 80295 5
80295 329 6
57991 326 6
29301 57991 4
327 29301 3
86444 327 2
29302 86444 3
86445 29302 3
29303 86445 6
86446 29303 2
29304 86446 2
86447 29304 1
328 86447 2
29306 328 4
80295 29306 5
329 80295 6
37375 54624 20
54624 275 52
275 54620 41
54620 67689 32
67689 276 4
54624 37375 20
275 54624 52
54620 275 41
67689 54620 32
276 67689 4
355 356 86
356 357 54
357 72996 9
72996 72995 10
72995 358 34
358 72994 30
72994 72993 20
72993 359 18
359 72992 30
72992 360 31
360 72991 21
72991 72990 65
72990 361 50
361 72989 10
72989 72988 9
72988 72987 10
72987 362 11
362 363 33
363 72986 24
72986 364 10
356 355 86
357 356 54
72996 357 9
72995 72996 10
358 72995 34
72994 358 30
